X,Y,capacite,couverture,surveillance,lumiere,proprietaire,gestionnaire
4.8611855,45.7476158003798,30.0,False,False,,,
2.3529585,48.8167433997378,24.0,False,False,,,
7.2019148,43.6834849005402,20.0,False,False,,,
6.1219209,45.8995814003578,20.0,False,False,,,
2.3650121,48.8616202997266,6.0,False,False,,Mairie de Paris,
1.2441158,45.8411761003664,6.0,False,False,,,Limoges Métropole
2.3551767,48.8372022997327,8.0,False,False,,,
2.2242794,48.8370172997327,,False,False,,,
5.7127241,45.1883057004492,4.0,False,False,,,
0.680154,47.3732428000818,4.0,False,False,,,
2.3521119,48.8420368997315,16.0,False,False,,Mairie de Paris,
-1.42367,46.1943882003113,,False,False,,,
0.766933200007477,49.6068621495581,,True,False,,,
1.3087074,45.8270975003684,4.0,False,False,,,
-1.5176737598382,47.2615755127064,,True,False,,,
4.3478008,43.8211974005377,6.0,False,False,,,
2.3788598,48.884451799721,8.0,False,False,,,Mairie de Paris
2.3283534,48.7966995997427,12.0,False,False,,,
5.7283492,45.1820423004498,8.0,False,False,,,
7.7566108,48.5813572997961,6.0,False,False,,,
7.3302385,47.7710664999916,5.0,False,False,,,
0.2121937,48.0202046999329,8.0,False,False,,,
5.7125441,45.1681042004513,2.0,False,False,,,
0.6872523,47.3890640000783,6.0,False,False,,,
4.878754,45.7805859003751,8.0,False,False,,,Grand Lyon
5.036957,47.3210284000932,8.0,False,False,,,
4.8371513,45.7520578003792,38.0,False,False,,,Grand Lyon
6.2250547,43.626195900541,10.0,False,False,,,
5.6322621,43.7842237005385,4.0,False,False,,,
1.3431732,43.5850306005414,2.0,False,False,,,
2.2688935,48.8475596997301,8.0,False,False,,,
7.7568296,48.5849674997952,4.0,False,False,,,
0.596989607186214,47.3712154667521,6.0,True,False,,,
2.307142,48.8611682997268,10.0,False,False,,Mairie de Paris,
2.40681385000102,48.6203476997963,12.0,False,False,,,
4.9840084,45.0492492004635,4.0,False,False,,,
4.2927082,45.1669700004514,10.0,False,False,,,
2.1366544,48.8057456997405,,False,False,,,
2.3819919,48.7816200997465,5.0,False,False,,,Mairie de Vitry-sur-Seine
5.7127085,45.1685917004513,4.0,False,False,,,
1.2937971,45.8605571003636,32.0,True,False,,,Limoges Métropole
-0.3745021,43.3756843005419,56.0,True,False,,,
2.2731876,48.8805098997219,14.0,False,False,,,
7.7529408,48.5707096997987,10.0,False,False,,,
6.1426041,45.9042185003571,16.0,False,False,,,
0.1942631,47.9928632999394,14.0,False,False,,,
2.3187168,48.8345206997333,18.0,False,False,,Mairie de Paris,
2.4874504,48.7678095997499,18.0,False,False,,,
0.68916,47.3888570000784,6.0,False,False,,,
6.156393,45.9260226003538,16.0,False,False,,,
0.467202094999843,47.2597686509779,16.0,False,False,,,
2.2173634,48.8580547997275,4.0,False,False,,,
-1.3968121,48.7951472997431,8.0,False,False,,,
5.7151737,45.1848025004495,6.0,False,False,,,
1.9065957,47.9043684999604,4.0,False,False,,,
2.1300902,48.8018829997414,4.0,False,False,,,
0.3737129,46.5808834002433,6.0,False,False,,,
4.0523458,43.5582073005416,,False,False,,,
0.708567,47.4286167000696,5.0,False,False,,,
4.8327176,45.74613270038,10.0,False,False,,,Grand Lyon
7.7693563,48.5814611997961,8.0,False,False,,,
1.4455517,43.5983756005412,6.0,False,False,,,
4.8614462,45.753559000379,8.0,False,False,,,
4.878556,44.8741581004798,4.0,False,False,,,Valence Roman Déplacement
0.6863048,47.4019896000755,6.0,False,False,,,
-1.1402967,46.1582927003172,4.0,False,False,,,
-0.518657436619652,44.8759432625517,,True,False,,,La Poste
7.7512588,48.6119028997885,2.0,False,False,,,
7.7102736,48.5680863997994,,False,False,,,
7.7423038,48.5783053997968,26.0,False,False,,,
2.257847,48.8253382997356,20.0,False,False,,,
-1.1484253,46.1557555003177,4.0,False,False,,,
2.4093814,48.8346203997333,10.0,False,False,,Mairie de Paris,
2.4905567,48.8543735997284,20.0,True,False,,,
5.7079801,45.1910322004489,8.0,False,False,,,
5.7312316,45.1851527004495,4.0,False,False,,,
2.3753176,48.690799299769,24.0,False,False,,,
2.3148309,48.8615410997266,6.0,False,False,,,
0.2336455,47.9947593999389,8.0,True,False,,,
3.6968052,43.400725400542,10.0,False,False,,,
3.0852501,45.7762842003758,8.0,False,False,,,
0.2132481,47.9741277999438,8.0,False,False,,,
2.2189395,48.8968727997179,4.0,False,False,,,
2.3453642,48.9057266997157,6.0,False,False,,,
2.3240145,48.884371199721,6.0,False,False,,,
5.2266602,45.0560028004628,10.0,False,False,,,
2.32076200966291,48.819302739052,12.0,False,False,,,Mairie de Montrouge
4.8219964,45.8385645003668,,False,False,,,
7.7557499,48.5739664997979,8.0,False,False,,,
2.23217,48.8387445997323,4.0,False,False,,,
2.4045123,48.8714885997242,14.0,False,False,,,
6.9769985,48.1830274998937,,False,False,,,
-2.107006,48.6350599997828,10.0,False,False,,,
2.3342518,48.8770007997228,10.0,False,False,,Mairie de Paris,
3.8863271,43.6573799005406,4.0,False,False,,,
7.7535377,48.5843524997954,10.0,False,False,,,
2.2374459,48.9081384997151,4.0,False,False,,,
2.1362665,48.8476694997301,6.0,False,False,,,
2.2121036,48.7060685997652,24.0,False,False,,,RATP
0.6184808,47.3369651000897,,False,False,,,
2.3276166,48.8404677997319,12.0,False,False,,Mairie de Paris,
0.6986323,47.3891610000783,4.0,False,False,,,
2.3461839,48.8222984997364,16.0,False,False,,Mairie de Paris,
